country	2015	2016	2017	2018	2019	2020
argentina	5954510.90	8228159.60	10660228.50	14744810.70	21802256.30	27481440.00
australia	1640535.00	1702809.00	1806813.00	1901128.00	2001152.00	1971788.00
austria	344269.23	357607.95	369361.87	385423.95	397518.54	379320.56
bahrain	11675.04	12120.35	13338.13	14157.34	14503.85	x
bangladesh	15158022.00	17328637.00	19758154.00	22504793.00	25424826.00	x
belgium	416701.40	430085.30	445050.10	460029.40	478160.70	456892.90
bosnia	28589.05	29904.46	31376.24	33444.08	35295.75	34240.16
botswana	137539.20	164418.20	166473.50	172525.30	178480.40	172552.40
brazil	5995787.00	6269328.00	6585479.00	7004141.00	7407023.60	7447858.30
bulgaria	89599.76	95390.49	102740.64	109964.19	120395.23	119951.09
canada	1990441.00	2025535.00	2140641.00	2231168.00	2310712.00	2204905.00
chile	159553348.30	169537387.70	179749461.20	190825823.10	196379332.70	200512436.20
china	2398280.00	2490438.00	2659384.00	2835119.00	2844560.00	2688536.00
colombia	804692000.00	863782000.00	920194000.00	978477060.58	1061729531.54	x
costa rica	30171918.90	32056288.20	34343647.50	36014718.70	37629651.10	36174304.60
ivory coast	27086150.00	28423874.00	29955010.00	32063000.00	34323171.45	x
croatia	344034.41	355920.33	372354.87	390855.98	412228.31	378349.00
cyprus	17883.96	18929.34	20245.26	21612.60	23009.94	21548.37
czech republic	4625378.00	4796873.00	5110743.00	5409665.00	5790348.00	5694623.00
denmark	2036356.22	2107808.22	2192960.00	2253316.25	2318041.86	2329561.40
ecuador	99290.38	99937.70	104295.86	107562.01	108108.01	x
egypt	2443900.00	2709400.00	3470000.00	4437400.00	5322100.00	x
estonia	20631.36	21747.91	23833.61	25817.68	27732.29	26834.52
finland	211385.00	217518.00	226301.00	233468.00	240097.00	236169.00
france	2198432.00	2234129.00	2297242.00	2363306.00	2437635.00	2302860.00
germany	3026180.00	3134740.00	3267160.00	3367860.00	3473350.00	3367560.00
greece	176368.86	174494.18	176903.37	179557.68	183250.40	165326.43
hong kong	2398280.00	2490438.00	2659384.00	2835119.00	2844560.00	2688536.00
hungary	34975313.00	36214066.00	39281357.00	43392436.00	47530610.00	47988479.00
iceland	2310847.79	2512054.82	2641959.40	2844727.64	3047727.36	2941098.99
india	137640366.48	152920145.59	170983041.08	188869575.40	203510126.23	x
indonesia	11526332800.00	12401728500.00	13589825700.00	14838756000.00	15832535400.00	15434151800.00
iraq	207224007.26	206706949.67	230988696.70	266736181.97	272028665.07	x
ireland	262800.05	270058.10	296925.22	326042.80	356526.26	372868.50
israel	1166354.20	1225235.40	1278840.90	1341580.80	1418448.80	1401406.40
italy	1655355.00	1695786.80	1736592.80	1771391.20	1794934.90	1653577.20
jamaica	1667193.44	1760975.63	1895025.05	2027251.09	2110432.54	x
japan	538032300.00	544364600.00	553073000.00	556189600.00	559862300.00	538697400.00
jordan	27396.78	28323.71	29400.00	30481.85	31597.06	x
kazakhstan	40884134.00	46971150.00	54378858.00	61819536.00	69532600.00	x
kenya	6284187.00	7022963.30	8165842.20	8892110.80	9740359.90	x
kuwait	34473.32	33055.75	36610.50	42474.70	40873.23	x
latvia	24572.13	25371.32	26984.43	29153.56	30647.22	29510.98
lebanon	75283607.56	77191722.17	80109512.19	82854123.18	79177048.52	x
lithuania	37345.70	38889.86	42276.30	45514.80	48859.87	49507.22
luxembourg	54142.30	56208.07	58168.78	60362.21	62704.17	64221.14
malawi	x	x	6417321.39	7113141.59	8098520.56	x
malaysia	1176941.00	1249697.00	1372310.00	1447452.00	1510693.00	x
malta	9996.71	10566.54	11959.40	12979.63	14047.61	13054.93
mauritius	409893.00	434765.00	457201.00	481255.00	498274.00	x
mexico	18572109.40	20129057.40	21934167.60	23524390.20	24453867.50	23073727.00
mongolia	23150385.60	23942866.40	27876297.20	32411224.10	36897640.20	x
montenegro	3654.51	3954.21	4299.09	4663.13	4950.72	4185.55
morocco	987950.00	1013229.00	1063351.00	1106821.94	1140271.55	x
namibia	146018.66	157707.67	171570.02	181053.84	181555.30	176327.30
netherlands	690008.00	708337.00	738146.00	773987.00	813055.00	800095.00
new zealand	251635.00	266809.00	286758.00	303059.00	319200.00	322118.00
nigeria	95177735.90	102575419.20	114899250.90	129086908.20	145639140.30	x
norway	3111168.00	3098148.00	3295382.00	3553900.00	3568488.00	3413450.00
oman	26307.59	25162.17	27140.17	30678.78	29349.47	x
pakistan	27443022.50	29075633.00	31922302.90	34616302.00	37972310.00	x
palestinian territory	x	x	x	x	x	x
peru	609364.00	656161.00	698311.00	740420.00	769963.00	x
philippines	13944157.45	15132381.47	16556651.08	18265190.26	19516418.27	x
poland	1801112.00	1863487.00	1989835.00	2121555.00	2293199.00	2326656.00
portugal	179713.16	186489.81	195947.21	205184.12	214374.62	200087.57
qatar	588733.00	552305.00	586400.80	667339.23	641991.41	525657.36
romania	711929.90	763652.50	857895.70	951728.50	1058973.20	1055548.80
russia	83087360.10	85616083.80	91843154.20	104629637.70	110046051.60	x
rwanda	6152000.00	6847000.00	7694000.00	8302000.00	9315000.00	9746000.00
saudi arabia	2453511.80	2418508.30	2582197.90	2949457.20	2973625.60	2625442.00
serbia	4315020.40	4528191.88	4760686.35	5072932.24	5421851.31	5502216.27
singapore	423444.10	440218.20	472079.10	503395.20	507567.70	x
slovakia	79888.15	81014.25	84442.87	89430.03	94048.03	92079.25
slovenia	38852.64	40443.22	43011.34	45864.25	48396.70	46918.05
south africa	4420792.50	4759554.50	5078189.90	5357640.10	5605033.90	5521075.10
south korea	1658020400.00	1740779600.00	1835698300.00	1898192600.00	1924498000.00	1933152400.00
spain	1077590.00	1113840.00	1161867.00	1203259.00	1244375.00	1121948.00
sri lanka	10950621.00	11996084.00	13328103.00	14366105.00	15016142.00	x
sweden	4260470.00	4415031.00	4625094.00	4828306.00	5049619.00	4983363.00
switzerland	675735.65	685440.98	693694.13	719271.62	727212.15	706241.81
taiwan	x	x	x	x	x	x
tanzania	94349315.56	108362324.29	118744498.44	129043901.31	139893804.13	x
thailand	13743463.00	14592595.00	15486551.00	16365572.00	16875891.00	15606463.00
tunisia	84689.20	89789.16	96298.30	105268.48	113848.41	x
turkey	2350941.34	2626559.71	3133704.27	3758773.73	4317786.91	5046883.31
uganda	94963000.00	103877000.00	113485000.00	126374000.00	137951000.00	x
ukraine	1988544.00	2385367.00	2983882.00	3558706.00	3977198.00	4191864.00
united arab emirates	1315250.58	1311248.34	1416136.22	1550584.75	1546644.98	x
united kingdom	1935212.00	2016638.00	2097143.00	2174380.00	2255283.00	2156073.00
united states	18238301.00	18745075.50	19542979.50	20611861.00	21433226.30	20936559.00
venezuela	x	x	x	x	x	x
vietnam	4192862308.95	4502732989.47	5005975487.43	5542331870.41	6037347630.70	6293144896.28
world	x	x	x	x	x	x
zambia	183381.07	216098.06	246251.78	282423.49	311353.34	x
zimbabwe	19963.00	20805.75	27437.99	42468.17	159390.66	x
euro zone	10522115.64	10816256.66	11222418.56	11600243.89	11982723.26	11400379.61
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
